,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marawi,PH,7.9986,124.2928,76.95,83,57,1.5,broken clouds
1,Punta Arenas,CL,-53.15,-70.9167,42.12,75,44,14.25,scattered clouds
2,Torbay,CA,47.6666,-52.7314,36.75,92,100,17.27,mist
3,Port Elizabeth,ZA,-33.918,25.5701,64.31,99,7,1.99,clear sky
4,Yongan,CN,39.6957,113.6871,53.78,21,0,10.02,clear sky
5,Xacmaz,AZ,41.4635,48.806,41.22,72,97,15.5,overcast clouds
6,Saint-Joseph,RE,-21.3667,55.6167,83.21,78,50,2.48,scattered clouds
7,Awjilah,LY,29.1081,21.2869,56.89,16,3,11.39,clear sky
8,Sitka,US,57.0531,-135.33,37.29,81,0,3.44,clear sky
9,Butaritari,KI,3.0707,172.7902,81.66,70,39,9.75,scattered clouds
10,Letlhakane,BW,-21.4167,25.5833,65.46,83,4,13.91,clear sky
11,Baracoa,CU,20.3467,-74.4958,72.01,71,21,10.42,few clouds
12,Caldwell,US,43.6629,-116.6874,57.92,61,0,0.0,clear sky
13,Ushuaia,AR,-54.8,-68.3,40.66,75,20,4.61,few clouds
14,Ajdabiya,LY,30.7554,20.2263,59.05,29,63,19.22,broken clouds
15,Norman Wells,CA,65.282,-126.8329,6.39,98,100,2.55,overcast clouds
16,Sura,RU,53.8879,45.7419,20.91,86,99,13.44,overcast clouds
17,Busselton,AU,-33.65,115.3333,71.06,55,39,15.1,scattered clouds
18,Pipar,IN,26.3856,73.5378,91.72,12,0,11.99,clear sky
19,Taoudenni,ML,22.6783,-3.9836,82.53,35,13,8.12,few clouds
20,Mansa,IN,29.9833,75.3833,97.45,5,0,5.73,clear sky
21,Lompoc,US,34.6391,-120.4579,57.63,74,100,19.57,overcast clouds
22,Bluff,NZ,-46.6,168.3333,61.34,80,4,7.34,clear sky
23,Arraial Do Cabo,BR,-22.9661,-42.0278,75.56,91,70,5.88,broken clouds
24,Mataura,NZ,-46.1927,168.8643,68.43,61,0,6.55,clear sky
25,Ayan,RU,56.45,138.1667,24.91,74,5,7.92,clear sky
26,Marsa Matruh,EG,31.3525,27.2453,57.27,64,0,7.63,clear sky
27,Padang,ID,-0.9492,100.3543,87.17,53,74,7.16,broken clouds
28,Hithadhoo,MV,-0.6,73.0833,81.68,64,2,5.21,clear sky
29,Urengoy,RU,65.9667,78.3667,18.7,91,100,15.05,overcast clouds
30,Chilia Veche,RO,45.4167,29.2833,41.43,41,20,1.77,few clouds
31,Afyonkarahisar,TR,38.75,30.6667,40.1,64,0,0.89,clear sky
32,Saldanha,ZA,-33.0117,17.9442,61.05,82,36,7.85,scattered clouds
33,Laguna,US,38.421,-121.4238,61.39,66,100,12.66,overcast clouds
34,Saint George,US,37.1041,-113.5841,70.39,14,0,13.8,clear sky
35,Dikson,RU,73.5069,80.5464,-10.17,98,45,2.93,scattered clouds
36,Oriximina,BR,-1.7656,-55.8661,73.9,96,99,1.63,heavy intensity rain
37,Clyde River,CA,70.4692,-68.5914,-3.35,96,100,5.48,overcast clouds
38,Terrak,NO,65.087,12.3715,37.27,94,100,22.3,light rain
39,Thompson,CA,55.7435,-97.8558,3.0,94,83,3.62,broken clouds
40,Garoua,CM,9.3,13.4,71.38,16,13,3.0,few clouds
41,Saint-Philippe,RE,-21.3585,55.7679,84.22,79,56,7.0,broken clouds
42,Dunmore Town,BS,25.5,-76.65,72.09,54,0,16.26,clear sky
43,Vikulovo,RU,56.8167,70.6107,24.55,91,87,13.51,overcast clouds
44,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.56,100,100,6.91,overcast clouds
45,Bridlington,GB,54.0831,-0.1919,46.15,98,94,1.99,overcast clouds
46,Necochea,AR,-38.5473,-58.7368,55.0,67,0,7.29,clear sky
47,Lavrentiya,RU,65.5833,-171.0,7.41,87,27,5.68,scattered clouds
48,Tuktoyaktuk,CA,69.4541,-133.0374,-16.46,95,12,6.33,few clouds
49,Port Alfred,ZA,-33.5906,26.891,68.5,73,21,8.28,few clouds
50,Namibe,AO,-15.1961,12.1522,70.43,71,92,11.05,overcast clouds
51,Haimen,CN,23.1935,116.6142,59.45,81,100,12.26,light rain
52,Morgan City,US,29.6994,-91.2068,63.0,100,20,3.44,few clouds
53,Dhidhdhoo,MV,6.8833,73.1,82.78,67,12,3.76,few clouds
54,Ribeira Grande,PT,38.5167,-28.7,59.68,85,99,11.92,overcast clouds
55,Burnie,AU,-41.0667,145.9167,72.95,79,53,10.67,broken clouds
56,Bodrum,TR,37.0383,27.4292,56.68,55,60,4.61,broken clouds
57,Envira,BR,-7.3,-70.2167,70.77,100,98,1.86,overcast clouds
58,Inhuma,BR,-6.6683,-41.7078,71.31,90,80,3.96,broken clouds
59,Talcahuano,CL,-36.7167,-73.1167,51.37,83,0,8.34,clear sky
60,Yalutorovsk,RU,56.6536,66.3006,26.04,90,100,14.94,overcast clouds
61,Nuuk,GL,64.1835,-51.7216,32.61,64,20,2.3,few clouds
62,Qaanaaq,GL,77.484,-69.3632,6.48,95,99,4.79,overcast clouds
63,Novyy Svit,UA,47.8059,38.0211,30.0,43,32,15.21,scattered clouds
64,Hirara,JP,24.8,125.2833,68.27,85,100,24.99,overcast clouds
65,Cassilandia,BR,-19.1133,-51.7342,71.8,89,96,2.08,overcast clouds
66,Rikitea,PF,-23.1203,-134.9692,79.25,67,79,8.32,broken clouds
67,Ballina,AU,-28.8667,153.5667,70.79,99,100,11.16,moderate rain
68,Vaini,TO,-21.2,-175.2,77.16,94,75,8.05,light intensity shower rain
69,Martyush,RU,56.4,61.8819,29.41,94,100,15.93,overcast clouds
70,Aksu,CN,41.1231,80.2644,56.48,23,53,3.15,broken clouds
71,Sahuaripa,MX,29.05,-109.2333,66.45,17,98,6.55,overcast clouds
